Name,Acronym,Sector,Type,Country,Website,Twitter,Donation Phone,Comments
"Chicago CERT","CERT","Emergency Management","Government","US","http://www.cityofchicago.org/city/en/depts/oem/provdrs/edu/svcs/become_a_cert_volunteer.html",,,
"City of Chicago OEM","OEMC","Emergency Management","Government","US","http://www.cityofchicago.org/content/city/en/depts/oem.html",,,
